id,tipo,anio,mesnom,mes,valor
1,Importaciones,2003,NOVIEMBRE,11,1560770000
1,Importaciones,2003,DICIEMBRE,12,1671033000
1,Importaciones,2004,ENERO,1,1228994000
1,Importaciones,2004,FEBRERO,2,1312116000
1,Importaciones,2004,MARZO,3,1513411000
1,Importaciones,2004,ABRIL,4,1467930000
1,Importaciones,2004,MAYO,5,1532102000
1,Importaciones,2004,JUNIO,6,1550113000
1,Importaciones,2004,JULIO,7,1371111000
1,Importaciones,2004,AGOSTO,8,1606020000
1,Importaciones,2004,SEPTIEMBRE,9,1574602000
1,Importaciones,2004,OCTUBRE,10,1765421000
1,Importaciones,2004,NOVIEMBRE,11,1975279000
1,Importaciones,2004,DICIEMBRE,12,1717575000
1,Importaciones,2005,ENERO,1,1546687000
1,Importaciones,2005,FEBRERO,2,1588287000
1,Importaciones,2005,MARZO,3,1627149000
1,Importaciones,2005,ABRIL,4,1766405000
1,Importaciones,2005,MAYO,5,1817380000
1,Importaciones,2005,JUNIO,6,1753760000
1,Importaciones,2005,JULIO,7,1693822000
1,Importaciones,2005,AGOSTO,8,1782898000
1,Importaciones,2005,SEPTIEMBRE,9,1778858000
1,Importaciones,2005,OCTUBRE,10,2100851000
1,Importaciones,2005,NOVIEMBRE,11,2183397000
1,Importaciones,2005,DICIEMBRE,12,2404265000
1,Importaciones,2006,ENERO,1,1806761000
1,Importaciones,2006,FEBRERO,2,1875550000
1,Importaciones,2006,MARZO,3,2039841000
1,Importaciones,2006,ABRIL,4,1883948000
1,Importaciones,2006,MAYO,5,1920141000
1,Importaciones,2006,JUNIO,6,1998300000
1,Importaciones,2006,JULIO,7,1787347000
1,Importaciones,2006,AGOSTO,8,2128310000
1,Importaciones,2006,SEPTIEMBRE,9,2196001000
1,Importaciones,2006,OCTUBRE,10,2413604000
1,Importaciones,2006,NOVIEMBRE,11,2453673000
1,Importaciones,2006,DICIEMBRE,12,2542991000
1,Importaciones,2007,ENERO,1,1940328000
1,Importaciones,2007,FEBRERO,2,2074042000
1,Importaciones,2007,MARZO,3,2126128000
1,Importaciones,2007,ABRIL,4,2115802000
1,Importaciones,2007,MAYO,5,2343362000
1,Importaciones,2007,JUNIO,6,2138140000
1,Importaciones,2007,JULIO,7,2109972000
1,Importaciones,2007,AGOSTO,8,2284387000
1,Importaciones,2007,SEPTIEMBRE,9,2257676000
1,Importaciones,2007,OCTUBRE,10,2518278000
1,Importaciones,2007,NOVIEMBRE,11,2442539000
1,Importaciones,2007,DICIEMBRE,12,2406367000
1,Importaciones,2008,ENERO,1,2125614000
1,Importaciones,2008,FEBRERO,2,2188121000
1,Importaciones,2008,MARZO,3,2234070000
1,Importaciones,2008,ABRIL,4,2132344000
1,Importaciones,2008,MAYO,5,2163156000
1,Importaciones,2008,JUNIO,6,2156641000
1,Importaciones,2008,JULIO,7,2087981000
1,Importaciones,2008,AGOSTO,8,2330190000
1,Importaciones,2008,SEPTIEMBRE,9,2317036000
1,Importaciones,2008,OCTUBRE,10,2438515000
1,Importaciones,2008,NOVIEMBRE,11,2282041000
